#item+conceptum+codicem,#item+rem+i_en+i_eng+is_latn,#item+rem+i_ru+i_rus+is_cyrl
CMU_1:1,about how long have these symptoms been going on?,"о том, как долго присутствуют эти симптомы?"
PubMed_6:143,"The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries.","Кумулятивная заболеваемость коронавирусной инфекцией (COVID-19) имеет схожие тенденции в странах Евросоюза / Европейской экономической зоны и в Великобритании, тем самым подтверждая, что, несмотря на разные этапы своего развития в разных странах, пандемия COVID-19 стремительно нарастает во всех странах."
PubMed_6:144,"Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care.","Принимая во внимание опыт Италии, странам, больницам и отделениям интенсивной терапии необходимо повышать уровень готовности к наплыву пациентов с COVID-19, которым потребуется лечение и, в частности, интенсивная терапия."
PubMed_6:145,"On 31 December 2019, a cluster of pneumonia cases of unknown aetiology was reported in Wuhan, Hubei Province, China.",31 декабря 2019 года в г. Ухань китайской провинции Хубэй было зафиксировано несколько случаев заболевания пневмонией неизвестной этиологии.
PubMed_6:146,"On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).","9 января 2020 года Китайский центр по контролю и профилактике заболеваний сообщил, что возбудителем инфекции является новый вид коронавируса, ныне известный как коронавирус тяжелого острого респираторного синдрома 2-го типа (SARS-CoV-2)."
PubMed_6:147,"Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19).","С этого момента заболевание, вызываемое SARS-CoV-2, стали называть коронавирусной инфекцией (COVID-19)."
PubMed_6:148,"Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover.","Согласно доступным на сегодняшний день данным, приблизительно у 80 % людей с COVID-19 заболевание протекает в легкой форме, т. е. в форме инфекции дыхательных путей с пневмонией или без нее, при этом большинство заболевших выздоравливают."
PubMed_6:149,"In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care.","Приблизительно в 14 % случаев COVID-19 развивается в заболевание более тяжелой формы с необходимостью госпитализации, а в остальных 6 % принимает критическую форму, когда требуется интенсивная терапия."
PubMed_6:150,The mortality of patients hospitalised due to COVID-19 is ca 4%.,"Уровень смертности пациентов, госпитализированных с COVID-19, составляет приблизительно 4 %."
PubMed_6:151,"In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China.",В данном исследовании анализируются тенденции кумулятивной заболеваемости COVID-19 в каждой стране Европейского союза (ЕС) / Европейской экономической зоны (ЕЭЗ) и в Великобритании и выполняется их сравнение с тенденциями в китайской провинции Хубэй.
PubMed_6:152,We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.,Мы также сравниваем текущее число случаев заболевания COVID-19 в ЕС/ЕЭЗ и в Великобритании с данными по Италии за период с 31 января по 15 марта 2020 года.
PubMed_6:153,COVID-19 cases in EU/EEA countries and the UK,Случаи заболевания COVID-19 в ЕС/ЕЭЗ и в Великобритании
PubMed_6:154,"Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country.","После вспышки в Китае COVID-19 распространился на другие страны, и в настоящее время в остальной части мира пандемия COVID-19 развивается согласно той же динамике, что и в Китае."
PubMed_6:155,"On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic.",11 марта 2020 года генеральный директор Всемирной организации здравоохранения (ВОЗ) объявил пандемию COVID-19.
PubMed_6:156,"In the 5 March issue of Eurosurveillance 2020, Spiteri et al. reported on the first European confirmed COVID-19 cases according to the WHO case definition.","В номере журнала Eurosurveillance от 5 марта 2020 года г-н Спитери (Spiteri) и его коллеги сообщили о первых подтвержденных случаях заболевания COVID-19 в Европе, которые отвечали критериям, по которым ВОЗ определяет наличие заболевания."
PubMed_6:157,"In the EU/EEA, the first three confirmed cases were reported by France on 24 January 2020 in persons returning from Wuhan, Hubei Province, China.",Три первых подтвержденных случая в ЕС/ЕЭЗ были зарегистрированы во Франции 24 января 2020 года — все трое заболевших вернулись из г. Ухань китайской провинции Хубэй.
PubMed_6:158,"As at 15 March 2020, COVID-19 cases had been detected in all 30 EU/EEA countries and the United Kingdom (UK), whereby between 31 December 2019 and that date included, 39,768 cases and 1,727 deaths had been reported, with 17,750 cases and 1,441 deaths from Italy alone.","По состоянию на 15 марта 2020 года случаи инфицирования COVID-19 выявлены во всех 30 странах ЕС/ЕЭЗ и в Великобритании, при этом за период с 31 декабря 2019 года до указанной даты зафиксировано 39 768 случаев инфицирования и 1 727 смертей, из которых 17 750 случаев, в том числе 1 441 со смертельным исходом, приходится на одну лишь Италию."
PubMed_6:159,Obtaining cumulative number and cumulative incidence of COVID-19 cases,Определение кумулятивного количества и кумулятивной заболеваемости COVID-19
PubMed_6:160,"At the European Centre for Disease Prevention and Control (ECDC), the notified COVID-19 case counts in each country worldwide, obtained from only official sources such as the countries’ Ministry of Health, national and regional health authorities and the WHO, are updated each day at 8:00 a.m.","Европейский центр по контролю и профилактике заболеваний (ECDC) ежедневно в 8:00 обновляет данные о количестве зарегистрированных случаев COVID-19 в каждой стране мира, полученные из официальных источников, таких как министерства здравоохранения этих стран, национальные и региональные органы управления здравоохранением и ВОЗ."
PubMed_6:161,"These data were used for assessing the trends of COVID-19 in EU/EEA and the UK, and comparing them to that in Italy.",Эти данные используются для анализа тенденций распространения COVID-19 в ЕС/ЕЭЗ и в Великобритании и для их сравнения с данными по Италии.
PubMed_6:162,"As a proxy of the prevalence of active COVID-19 cases, we calculated the 14-day truncated cumulative incidence of COVID-19 cases, thus taking into account the natural course of COVID-19, in each EU/EEA country and the UK, during the 1 January–15 March 2020 period.",В качестве показателя уровня распространения активных случаев COVID-19 была рассчитана усеченная кумулятивная заболеваемость COVID-19 за 14 дней с учетом обычного течения COVID-19 в каждой стране ЕС/ЕЭЗ и в Великобритании за период с 1 января по 15 марта 2020 года.
PubMed_6:163,We also presented the cumulative number of notified cases of each country as at 15 March 2020 8:00 a.m. compared with that of Italy for the 31 January–15 March 2020 period.,"Мы также представили кумулятивное количество случаев, зафиксированных в каждой стране на 8:00 15 марта 2020 года, в сравнении с данными по Италии за период с 31 января по 15 марта 2020 года."
PubMed_6:164,Trends of COVID-19 in EU/EEA countries and the UK,Тенденции развития COVID-19 в странах ЕС/ЕЭЗ и в Великобритании
PubMed_6:165,The trends in the 14-day truncated cumulative incidence of COVID-19 cases in EU/EEA countries and the UK generally followed that of Hubei Province (China) (Figure 1).,"Тенденции развития усеченной кумулятивной заболеваемости COVID-19 за 14-дневный период в странах ЕС/ЕЭЗ и в Великобритании в целом соответствовали тенденциям, наблюдаемым в китайской провинции Хубэй (рис. 1)."
PubMed_6:166,"For the EU/EEA and the UK overall, the cumulative incidence of COVID-19 started to increase around 21 February and then increased sharply around 28 February 2020 (Supplementary material).","Кумулятивная заболеваемость COVID-19 в ЕС/ЕЭЗ и в Великобритании в целом начала расти приблизительно 21 февраля, а 28 февраля 2020 года произошел резкий скачок этого показателя (дополнительный материал)."
PubMed_6:167,"This was mostly driven by the rapid increase in the number of reported cases from Italy, but all other EU/EEA countries and the UK showed similar increasing trends of the cumulative incidence of COVID-19 (Supplementary material).","Это было обусловлено главным образом стремительным ростом числа зарегистрированных случаев заболевания в Италии, но и во всех других странах ЕС/ЕЭЗ и в Великобритании отмечались аналогичные тенденции к росту кумулятивной заболеваемости COVID-19 (дополнительный материал)."
PubMed_6:168,"Figure 2 shows the cumulative number of COVID-19 cases, in EU/EEA countries and the UK compared with that in Italy for the 31 January–15 March 2020 period.",На рис. 2 показано кумулятивное число случаев заболевания COVID-19 в странах ЕС/ЕЭЗ и в Великобритании в сравнении с аналогичным показателем для Италии за период с 31 января по 15 марта 2020 года.
PubMed_6:169,"It highlights that, as at 15 March 8:00 a.m., 15 other EU/EEA countries and the UK had already reported a total number of cases comparable to that of Italy just 3 weeks prior or less.","Согласно этим данным, общее количество случаев, уже зарегистрированное по состоянию на 8:00 15 марта в 15 других странах ЕС/ЕЭЗ и в Великобритании, сопоставимо с количеством, зафиксированным в Италии всего примерно 3 неделями ранее."
PubMed_6:170,Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.,Наши результаты свидетельствуют о быстром росте числа зарегистрированных случаев COVID-19 в ЕС/ЕЭЗ и в Великобритании.
PubMed_6:171,The observed trends in the cumulative incidence of COVID-19 suggest that the pandemic is progressing at a comparable speed in all countries.,"Наблюдаемые тенденции кумулятивной заболеваемости COVID-19 позволяют предположить, что пандемия развивается с сопоставимой скоростью во всех странах."
PubMed_6:172,"This is despite countries being at different stages, variations in national public health responses, and possibly different case definitions in countries and different protocols for selecting patients that must be tested for confirmation of COVID-19, including catch-up testing.","И это несмотря на разные этапы в разных странах, на различия в мерах реагирования, принимаемых национальными органами общественного здравоохранения, и, возможно, разные критерии признания случаев заболевания и разные правила отбора пациентов для проведения анализа на наличие COVID-19, включая «наверстывающее» тестирование."
PubMed_6:173,"Early March 2020, doctors in the affected regions of Italy described a situation in which ca 10% of patients with COVID-19 required intensive care and media sources reported that hospitals and intensive care units in these regions had already reached their maximum capacity.","В начале марта 2020 года врачи в пострадавших регионах Италии сообщали о том, что приблизительно 10 % пациентов с COVID-19 требуется интенсивная терапия, а СМИ отмечали, что больницы и отделения интенсивной терапии в этих регионах уже максимально заполнены."
PubMed_6:174,"Data on admission of COVID-19 cases in a hospital and/or an intensive care unit are currently available at EU/EEA level for only 6% and 1% cases, respectively (data not shown).",На текущий момент данные о поступлении больных с COVID-19 в больницы и (или) отделения интенсивной терапии в ЕС/ЕЭЗ доступны только в отношении 6 % и 1 % случаев соответственно (данные не представлены).
PubMed_6:175,"They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths.","Однако необходимо проводить систематический сбор таких сведений, чтобы дополнить текущие данные наблюдения, предметом которых является количество зарегистрированных случаев и количество смертей."
PubMed_6:176,"A study performed in 2010–11 showed a large variation in the availability of intensive care and intermediate care beds in Europe, ranging from 29.2 in Germany to 4.2 beds per 100,000 population in Portugal.","Согласно результатам исследования, проведенного в 2010–2011 годах, в Европе наблюдается значительный разброс в количестве коек в отделениях интенсивной терапии и отделениях интенсивного ухода за больными: от 29,2 в Германии до 4,2 коек на 100 000 человек в Португалии."
PubMed_6:177,"This means that countries may have more or less resources than Italy (12.5 intensive care and intermediate care beds per 100,000 population in 2010–11).","Это означает, что другие страны, возможно, имеют больше или меньше ресурсов, чем Италия (12,5 койки в отделениях интенсивной терапии и отделениях интенсивного ухода за больными на 100 000 населения в 2010–2011 годах)."
PubMed_6:178,"Modelling scenarios related to healthcare capacity saturation, with estimates for each EU/EEA country and the UK of the prevalence of hospitalised COVID-19 cases associated with a &gt; 90% risk of exceeding intensive care bed capacity, are provided in the sixth update of the ECDC rapid risk assessment on COVID-19.","В шестом обновленном докладе ECDC о результатах экспресс-оценки рисков по COVID-19 представлены сценарии моделирования загрузки ресурсов систем здравоохранения с оценочными данными по госпитализации инфицированных COVID-19 в каждой стране ЕС/ЕЭЗ и в Великобритании, когда риск нехватки доступных коек в отделениях интенсивной терапии превышает 90 %."
PubMed_6:179,"Since cases have so far clustered in certain regions in EU/EEA countries and the UK, and hospitals and intensive care units usually serve a defined regional catchment population, information about cases and intensive care beds should preferably be made available at the Nomenclature of territorial units for statistics 2 (NUTS-2) level.","Поскольку на данный момент случаи сгруппированы по определенным регионам ЕС/ЕЭЗ и Великобритании, а больницы и отделения интенсивной терапии обычно обслуживают население определенной территориальной группы, информацию о случаях инфицирования и количестве коек в отделениях интенсивной терапии рекомендуется по возможности предоставлять по единицам 2-го уровня Номенклатуры территориальных единиц для целей статистики (NUTS-2)."
PubMed_6:180,The experience from Italy and the current trends in other countries show that the COVID-19 pandemic is progressing rapidly in the EU/EEA and the UK.,"Опыт Италии и текущие тенденции в других странах показывают, что в ЕС/ЕЭЗ и Великобритании пандемия COVID-19 стремительно развивается."
PubMed_6:181,"Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy.","Поэтому страны, больницы и отделения интенсивной терапии должны быть готовы к сценарию контактного заражения SARS-CoV-2, неослабевающего на протяжении длительного времени, и к росту числа пациентов с COVID-19, нуждающихся в медицинской помощи и, в частности, интенсивной терапии, что, например, можно наблюдать в пострадавших регионах Италии."
PubMed_6:182,"As pointed out in the recent ECDC rapid risk assessment, a rapid, proactive and comprehensive approach is essential to delay the spread of SARS-COV-2, with a shift from a containment to a mitigation approach, as the anticipated rapid increase in the number of cases may not provide decision makers and hospitals enough time to comprehend, accept and adapt their response accordingly if not implemented ahead of time.","Как сообщается в последнем докладе ECDC о результатах экспресс-оценки рисков, большое значение для сдерживания распространения SARS-COV-2 имеет оперативный, упреждающий и комплексный подход с последующим переходом от сдерживания к минимизации последствий, поскольку, учитывая прогнозируемый стремительный рост числа заболеваний, у принимающих решения лиц и больниц, возможно, просто не будет достаточно времени, чтобы осмыслить, принять и соответствующим образом скорректировать свои ответные меры, если такие меры не будут приняты заранее."
PubMed_6:183,The rapid risk assessment also lists the public health measures to mitigate the impact of the pandemic.,"В докладе о результатах экспресс-оценки рисков также перечислены меры в области общественного здравоохранения, призванные смягчить воздействие пандемии."
