#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
CMU_1:68,je ressens une douleur dans la poitrine ici à l’avant de la poitrine,i feel a pain in the chest here in the front part of the chest
CMU_1:69,si vous avez toujours une forte fièvre,if you continue to have high fevers
CMU_1:70,si vous avez cent-deux de fièvre ou plus,if you have a fever of a hundred and two or higher
CMU_1:71,si vous pensez que vos symptômes ou problèmes méritent d’être examinés de plus près,if you think that your symptoms or problems warrant a better look
CMU_1:72,j’ai eu de la fièvre hier,i got a fever yesterday
CMU_1:73,j’ai eu aussi une légère fièvre,i got a slight fever too
CMU_1:74,j’ai eu de la fièvre hier,i had a fever yesterday
CMU_1:75,j’ai ressenti une brève douleur aiguë dans la poitrine,i had a short sharp pain in my chest
CMU_1:76,j’ai ressenti une douleur aiguë ici dans la poitrine,i have a sharp pain here in the chest
CMU_1:77,mais j’ai le rhume des foins aussi,i have hay fever though too
CMU_1:78,j’ai fait sur le corps autour de la poitrine ?,i have made on the body around the chest area?
CMU_1:79,j’ai quelques difficultés à respirer aussi,i have some difficulty breathing too
CMU_1:80,je vous enverrai une image,i'll send you an image
CMU_1:81,j’ai mal à la poitrine aujourd’hui,i'm having some chest pain today
CMU_1:82,j’ai des maux de tête et un peu de fièvre aujourd’hui,i'm just having some headaches and some fever today
CMU_1:83,selon moi c’est la grippe,in my opinion it is flu
CMU_1:84,je pense que c’est une petite grippe,in my opinion this is a little flu
CMU_1:85,je vois que ça part du centre de votre poitrine et que ça remonte vers votre nuque,i see it going from the center of your chest going up to your neck
CMU_1:86,c’est comme si une personne très lourde était assise sur votre poitrine ?,is it like some heavy heavy person sitting on your chest?
CMU_1:87,ça a commencé par des maux de tête avec de la fièvre à peu près en même temps,it all started with the headaches and with the fever about the same time
CMU_1:88,ça fait mal dans la poitrine,it hurts in the chest
CMU_1:89,ça fait mal au milieu de ma poitrine,it hurts in the middle of my chest
CMU_1:90,c’est une douleur oppressante dans la poitrine,it is a pressure like chest pain
CMU_1:91,c’est dans ma poitrine,it is in my chest
CMU_1:92,c’est au centre de ma poitrine,it is in the center of my chest
CMU_1:93,c’est au centre de la poitrine,it is in the center of the chest
CMU_1:94,ça se passe pile au centre de ma poitrine,it is occurring right in the middle of my chest
CMU_1:95,c’est pile au centre de ma poitrine,it is right in the center of my chest
CMU_1:96,ça ressemble à un simple rhume ou à une grippe,it sounds like you just may have the garden variety cold or a flu
CMU_1:97,j’ai une douleur dans la poitrine,i've got pain in my chest
CMU_1:98,cette douleur thoracique m’inquiète beaucoup,i've very concerned of this chest pain
CMU_1:99,je veux que vous me décriviez cette douleur dans la poitrine,i want you to tell me in describing this chest pain
CMU_1:100,je vous enverrai une image,i will send you an image
CMU_1:101,je vous enverrai une image sur votre écran,i will send you an image on your screen
CMU_1:102,comme l’hypertension ou le diabète,like high blood pressure or diabetes
CMU_1:103,comme pile au centre de la poitrine,like right in the center of the chest
CMU_1:104,la plupart du temps c’est ce type de douleur dans la poitrine,most of the time it is this type of chest pain
CMU_1:105,ma sœur a des symptômes similaires,my sister has similar symptoms
CMU_1:106,maintenant contre la fièvre vous pouvez prendre du paracétamol,now for the fever you can take a tachipirina sweet
CMU_1:107,je vous envoie une image maintenant,now i send you an image
CMU_1:108,"Mary, cela fait combien de temps maintenant que vous avez les symptômes",now mary how many days have you had the symptoms
CMU_1:109,vous dites maintenant que vous avez une douleur dans la poitrine,now you said you have a chest pain
CMU_1:110,j’ai parfois mal à la poitrine,occasionally i have some chest pain
CMU_1:111,OK avez-vous d’autres symptômes en plus ou seulement cette douleur dans la poitrine,okay are you having any other symptoms along with this other than just the pain
CMU_1:112,ou si vous avez de l’hypertension,or if you have high blood pressure
CMU_1:113,ou quelqu’un assis sur votre poitrine ?,or somebody sitting on your chest?
CMU_1:114,"à peu près pareil avec la fièvre et la toux, le mal de tête et les douleurs musculaires",pretty much the same with the fever and the cough headache and muscle pains
CMU_1:115,en plein milieu de la poitrine,right in the middle of my chest
CMU_1:116,montrez-moi sur cette image où vous avez mal,show me on this image where you feel the pain
CMU_1:117,depuis que vous avez de la fièvre,since you have a fever
CMU_1:118,donc pensez-vous que certains de ces symptômes pourraient être liés à la grossesse ?,so do you think that some of these symptoms could be related to being pregnant?
CMU_1:119,donc votre douleur dans la poitrine a commencé ce matin,so your chest pain started this morning
CMU_1:120,donc vos enfants ont certains de ces symptômes ?,so your children are having some of the same symptoms?
CMU_1:121,parlez-moi de votre douleur dans la poitrine,tell me about your chest pain
CMU_1:122,la fièvre augmente la nuit,the fever increases at night
CMU_1:123,la fièvre que j’ai eu ces deux derniers jours,the fever i've had for the last two days
CMU_1:124,la fièvre a commencé à augmenter la nuit dernière,the fever started to increase last night
CMU_1:125,la fièvre a commencé il y a deux jours,the fever started two days ago
CMU_1:126,les douleurs musculaires avec le rhume des foins,the muscle pains with the hay fever
CMU_1:127,c’est le docteur Porter du centre de tri en salle d’urgence,this is doctor porter in the emergency room triage center
CMU_1:128,"bien, pouvez-vous m’en dire un peu plus sur votre douleur dans la poitrine ?",well can you tell me a little bit more about your chest pain?
CMU_1:129,"bien, d’après moi c’est une petite grippe",well from my point of view it is a little flu
CMU_1:130,"bien, je ressens une douleur à l’avant de mon corps, ici dans ma poitrine",well i feel a pain in the front of my body here in my chest
CMU_1:131,"bien, j’ai une forte douleur dans la poitrine",well i've been having a strong pain in my chest
CMU_1:132,"bien madame, à entendre vos symptômes, il semblerait que vous ayez l’un des virus de la grippe",well madam from listening to your symptoms it sounds like you've got one of the flu viruses
CMU_1:133,"bien, quand j’ai cette douleur dans la poitrine",well when i have that pain in my chest
CMU_1:134,quelle sorte de douleur avez-vous dans la poitrine ?,what kinda pain do you have in your chest?
CMU_1:135,quand cette douleur dans la poitrine a-t-elle commencé ?,when this chest pain started?
CMU_1:136,où avez-vous mal dans la poitrine ?,where do you have the pain in the chest?
CMU_1:137,où ressentez-vous cette douleur thoracique dans la poitrine,where you feel this chest pain eel this chest t
CMU_1:138,vous avez probablement une douleur dans la poitrine,you are probably having chest pain
CMU_1:139,vous sentez comme une oppression dans la poitrine,you feel like tightness on your chest
CMU_1:140,vous savez j’ai du diabète et tout ça,you know i got diabetes and stuff
CMU_1:141,vous avez dit que vous avez cette douleur dans la poitrine,you said you're having this chest pain
PubMed_6:142,"Augmentation rapide de l’incidence cumulée de la maladie à coronavirus (COVID-19) au sein de l’Union européenne/l’Espace économique européen et au Royaume-Uni, entre le 1er janvier et le 15 mars 2020","Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020"
PubMed_6:143,"L’incidence cumulée des cas de maladie à coronavirus (COVID-19) montre une évolution similaire dans les pays de l’Union européenne/l’Espace économique européen et au Royaume-Uni, confirmant ainsi que, bien qu’elle en soit à des stades différents, la pandémie de COVID-19 progresse rapidement dans tous les pays.","The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries."
PubMed_6:144,"D’après l’expérience de l’Italie, les pays, les hôpitaux et les services de soins intensifs doivent se préparer à un pic de patients atteints de la COVID-19 nécessitant des soins, et en particulier des soins intensifs.","Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care."
PubMed_6:145,"Le 31 décembre 2019, un foyer de cas de pneumonie d’étiologie inconnue était signalé à Wuhan, dans la province du Hubei, en Chine.","On 31 December 2019, a cluster of pneumonia cases of unknown aetiology was reported in Wuhan, Hubei Province, China."
PubMed_6:146,"Le 9 janvier 2020, le Centre chinois de prévention et de contrôle des maladies désignait l’agent responsable comme étant un nouveau coronavirus désormais connu sous le nom de coronavirus 2 du syndrome respiratoire aigu sévère (SARS-CoV-2).","On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)."
PubMed_6:147,"Depuis, la maladie résultant de l’infection au SARS-CoV-2 a été baptisée maladie à coronavirus (COVID-19).","Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19)."
PubMed_6:148,"À ce jour, environ 80 % des personnes atteintes de la COVID-19 présentent une affection bénigne, c.-à-d. une infection des voies respiratoires avec ou sans pneumonie, dont la plupart guérissent.","Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover."
PubMed_6:149,"Dans environ 14 % des cas, la COVID-19 entraîne une atteinte plus sévère nécessitant une hospitalisation, tandis que les 6 % de cas restants développent une forme grave de la maladie nécessitant des soins intensifs.","In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care."
PubMed_6:150,La mortalité des patients hospitalisés en raison de la COVID-19 est d’environ 4 %.,The mortality of patients hospitalised due to COVID-19 is ca 4%.
PubMed_6:151,"Dans le cadre de cette étude, nous évaluons l’évolution de l’incidence cumulée de la COVID-19 dans chacun des pays de l’Union européenne/l’Espace économique européen (UE/EEE) et au Royaume-Uni (R.-U.), et la comparons avec l’évolution qu’a connu la province du Hubei, en Chine.","In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China."
PubMed_6:152,Nous comparons également le nombre actuel de cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni avec celui de l’Italie pour la période du 31 janvier au 15 mars 2020.,We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.
PubMed_6:153,Cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni,COVID-19 cases in EU/EEA countries and the UK
PubMed_6:154,"Après la Chine, la COVID-19 a continué de se propager, et la dynamique de la pandémie de COVID-19 dans le reste du monde suit actuellement celle de ce pays.","Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country."
PubMed_6:155,"Le 11 mars 2020, le directeur général de l’Organisation mondiale de la santé (OMS) déclarait que la COVID-19 constitue une pandémie.","On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic."
PubMed_6:156,"Dans l’édition du 5 mars d’Eurosurveillance 2020, Spiteri et al. rapportaient les premiers cas de COVID-19 confirmés en Europe d’après la définition de cas de l’OMS.","In the 5 March issue of Eurosurveillance 2020, Spiteri et al. reported on the first European confirmed COVID-19 cases according to the WHO case definition."
PubMed_6:157,"Au sein de l’UE/l’EEE, les trois premiers cas confirmés ont été rapportés par la France le 24 janvier 2020 chez des personnes revenant de Wuhan, dans la province du Hubei, en Chine.","In the EU/EEA, the first three confirmed cases were reported by France on 24 January 2020 in persons returning from Wuhan, Hubei Province, China."
PubMed_6:158,"Au 15 mars 2020, des cas de COVID-19 avaient été détectés dans chacun des 30 pays de l’UE/l’EEE et au Royaume-Uni (R.-U.) avec, entre le 31 décembre 2019 et cette date, 39 768 cas et 1 727 décès déclarés, dont 17 750 cas et 1 441 décès pour l’Italie uniquement.","As at 15 March 2020, COVID-19 cases had been detected in all 30 EU/EEA countries and the United Kingdom (UK), whereby between 31 December 2019 and that date included, 39,768 cases and 1,727 deaths had been reported, with 17,750 cases and 1,441 deaths from Italy alone."
PubMed_6:159,Obtention du nombre cumulé et de l’incidence cumulée de cas de COVID-19,Obtaining cumulative number and cumulative incidence of COVID-19 cases
PubMed_6:160,"Au Centre européen de prévention et de contrôle des maladies (CEPCM), le nombre de cas de COVID-19 signalés dans chaque pays à travers le monde, obtenu uniquement à partir de sources officielles telles que les ministères de la santé, les autorités nationales et régionales de santé des différents pays ainsi que l’OMS, est mis à jour quotidiennement à 08 h 00.","At the European Centre for Disease Prevention and Control (ECDC), the notified COVID-19 case counts in each country worldwide, obtained from only official sources such as the countries’ Ministry of Health, national and regional health authorities and the WHO, are updated each day at 8:00 a.m."
PubMed_6:161,"Ces données ont été utilisées pour évaluer l’évolution de la COVID-19 au sein de l’UE/l’EEE et au Royaume-Uni, et établir une comparaison avec l’expérience de l’Italie.","These data were used for assessing the trends of COVID-19 in EU/EEA and the UK, and comparing them to that in Italy."
PubMed_6:162,"Afin d’évaluer la prévalence des cas actifs de COVID-19, nous avons calculé l’incidence cumulée à 14 jours des cas de COVID-19, prenant ainsi en compte l’évolution naturelle de la COVID-19, au sein de chaque pays de l’UE/l’EEE et au Royaume-Uni, pour la période du 1er janvier au 15 mars 2020.","As a proxy of the prevalence of active COVID-19 cases, we calculated the 14-day truncated cumulative incidence of COVID-19 cases, thus taking into account the natural course of COVID-19, in each EU/EEA country and the UK, during the 1 January–15 March 2020 period."
PubMed_6:163,Nous avons également comparé le nombre cumulé de cas signalés dans chaque pays au 15 mars 2020 à 8 h 00 avec les données de l’Italie pour la période du 31 janvier au 15 mars 2020.,We also presented the cumulative number of notified cases of each country as at 15 March 2020 8:00 a.m. compared with that of Italy for the 31 January–15 March 2020 period.
PubMed_6:164,Évolution de la COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni,Trends of COVID-19 in EU/EEA countries and the UK
PubMed_6:165,L’évolution de l’incidence cumulée à 14 jours des cas de COVID-19 au sein des pays de l’UE/l’EEE et au Royaume-Uni a généralement suivi celle de la province du Hubei (Chine) (Figure 1).,The trends in the 14-day truncated cumulative incidence of COVID-19 cases in EU/EEA countries and the UK generally followed that of Hubei Province (China) (Figure 1).
PubMed_6:166,"Pour l’UE/l’EEE et le Royaume-Uni, l’incidence cumulée de la COVID-19 a commencé à croître aux alentours du 21 février avant de connaître une augmentation drastique aux alentours du 28 février 2020 (données supplémentaires).","For the EU/EEA and the UK overall, the cumulative incidence of COVID-19 started to increase around 21 February and then increased sharply around 28 February 2020 (Supplementary material)."
PubMed_6:167,"Cette évolution a été principalement due à l’augmentation rapide du nombre de cas rapportés en Italie, mais tous les autres pays de l’UE/l’EEE et le Royaume-Uni ont présenté une augmentation similaire de l’incidence cumulée de la COVID-19 (données supplémentaires).","This was mostly driven by the rapid increase in the number of reported cases from Italy, but all other EU/EEA countries and the UK showed similar increasing trends of the cumulative incidence of COVID-19 (Supplementary material)."
PubMed_6:168,La Figure 2 présente le nombre cumulé de cas de COVID-19 dans les pays de l’UE/l’EEE et au Royaume-Uni par rapport aux données de l’Italie pour la période du 31 janvier au 15 mars 2020.,"Figure 2 shows the cumulative number of COVID-19 cases, in EU/EEA countries and the UK compared with that in Italy for the 31 January–15 March 2020 period."
PubMed_6:169,"On constate que, au 15 mars à 8 h 00, 15 autres pays de l’UE/l’EEE et le Royaume-Uni avaient déjà signalé un nombre total de cas comparable à celui de l’Italie seulement 3 semaines auparavant  ou moins.","It highlights that, as at 15 March 8:00 a.m., 15 other EU/EEA countries and the UK had already reported a total number of cases comparable to that of Italy just 3 weeks prior or less."
PubMed_6:170,Nos résultats indiquent que le nombre de cas signalés de COVID-19 augmente rapidement au sein de l’UE/l’EEE et au Royaume-Uni.,Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.
PubMed_6:171,L’évolution de l’incidence cumulée de la COVID-19 suggère que la pandémie progresse à une vitesse comparable dans tous les pays.,The observed trends in the cumulative incidence of COVID-19 suggest that the pandemic is progressing at a comparable speed in all countries.
PubMed_6:172,"Et cela en dépit du fait que les pays en soient à des stades différents et qu’il existe des différences dans les réponses des services de santé publique nationaux, de potentielles variations dans les définitions de cas ainsi que des différences dans les protocoles de sélection des patients devant être testés à des fins de confirmation de la COVID-19, y compris pour les tests de rattrapage.","This is despite countries being at different stages, variations in national public health responses, and possibly different case definitions in countries and different protocols for selecting patients that must be tested for confirmation of COVID-19, including catch-up testing."
PubMed_6:173,"Début mars 2020, les médecins des régions affectées d’Italie indiquaient qu’environ 10 % des patients atteints de la COVID-19 nécessitaient des soins intensifs, et les médias rapportaient que les hôpitaux et les services de soins intensifs de ces régions avaient déjà atteint leur capacité maximale.","Early March 2020, doctors in the affected regions of Italy described a situation in which ca 10% of patients with COVID-19 required intensive care and media sources reported that hospitals and intensive care units in these regions had already reached their maximum capacity."
PubMed_6:174,"Des données relatives à l’admission des cas de COVID-19 dans les hôpitaux et/ou en service de soins intensifs sont actuellement disponibles à l’échelle de l’UE/l’EEE pour seulement 6 % et 1 % des cas, respectivement (données non présentées).","Data on admission of COVID-19 cases in a hospital and/or an intensive care unit are currently available at EU/EEA level for only 6% and 1% cases, respectively (data not shown)."
PubMed_6:175,"Il est, cependant, nécessaire de réaliser une collecte systématique afin de compléter les données de surveillance actuelles qui se concentrent sur le nombre de cas signalés et de décès.","They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths."
PubMed_6:176,"Une étude réalisée en 2010–11 a montré un écart important quant au nombre de lits disponibles dans les services de soins intermédiaires et intensifs en Europe, allant de 29,2 lits pour 100 000 individus en Allemagne à 4,2 lits au Portugal.","A study performed in 2010–11 showed a large variation in the availability of intensive care and intermediate care beds in Europe, ranging from 29.2 in Germany to 4.2 beds per 100,000 population in Portugal."
PubMed_6:177,"Cela signifie que les pays disposent plus ou moins de ressources que l’Italie (12,5 lits en soins intensifs et intermédiaires pour 100 000 individus en 2010–11).","This means that countries may have more or less resources than Italy (12.5 intensive care and intermediate care beds per 100,000 population in 2010–11)."
PubMed_6:178,"Des scénarios de modélisation relatifs à la saturation de la capacité de soins, avec des estimations pour chaque pays de l’UE/l’EEE et le Royaume-Uni de la prévalence de cas de COVID-19 hospitalisés associés à un risque &gt; 90 % de dépassement de la capacité en lits en soins intensifs, sont fournis dans la sixième mise à jour de l’évaluation rapide des risques du CEPCM relative à la COVID-19.","Modelling scenarios related to healthcare capacity saturation, with estimates for each EU/EEA country and the UK of the prevalence of hospitalised COVID-19 cases associated with a &gt; 90% risk of exceeding intensive care bed capacity, are provided in the sixth update of the ECDC rapid risk assessment on COVID-19."
PubMed_6:179,"Étant donné que les cas étaient jusqu’alors regroupés dans certaines régions des pays de l’UE/l’EEE et du Royaume-Uni, et que les hôpitaux et les services de soins intensifs accueillent généralement une population régionale définie, les données sur les cas et les lits en soins intensifs devraient, de préférence, être établies au niveau 2 de la Nomenclature des unités territoriales statistiques (NUTS 2).","Since cases have so far clustered in certain regions in EU/EEA countries and the UK, and hospitals and intensive care units usually serve a defined regional catchment population, information about cases and intensive care beds should preferably be made available at the Nomenclature of territorial units for statistics 2 (NUTS-2) level."
PubMed_6:180,L’expérience de l’Italie et l’évolution actuelle dans les autres pays montrent que la pandémie de COVID-19 progresse rapidement au sein de l’UE/l’EEE et au Royaume-Uni.,The experience from Italy and the current trends in other countries show that the COVID-19 pandemic is progressing rapidly in the EU/EEA and the UK.
PubMed_6:181,"Les pays, les hôpitaux et les services de soins intensifs doivent donc se préparer à un scénario de transmission communautaire soutenue du SARS-CoV-2 ainsi qu’à une augmentation du nombre de patients atteints de la COVID-19 nécessitant des soins, et en particulier des soins intensifs, comme dans les régions affectées d’Italie.","Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy."
PubMed_6:182,"Comme souligné par la récente évaluation rapide des risques du CEPCM, une approche rapide, proactive et exhaustive est essentielle pour retarder la propagation du SARS-COV-2, en passant d’une approche d’endiguement à une approche d’atténuation, dans la mesure où l’augmentation rapide et précoce du nombre de cas pourrait ne pas laisser suffisamment de temps aux décideurs et aux hôpitaux pour comprendre, accepter et adapter leur réponse en conséquence, si rien n’avait été mis en œuvre en amont.","As pointed out in the recent ECDC rapid risk assessment, a rapid, proactive and comprehensive approach is essential to delay the spread of SARS-COV-2, with a shift from a containment to a mitigation approach, as the anticipated rapid increase in the number of cases may not provide decision makers and hospitals enough time to comprehend, accept and adapt their response accordingly if not implemented ahead of time."
PubMed_6:183,L’évaluation rapide des risques répertorie également les mesures de santé publique permettant d’atténuer l’impact de la pandémie.,The rapid risk assessment also lists the public health measures to mitigate the impact of the pandemic.
PubMed_6:184,Il existe une brève fenêtre pendant laquelle chaque pays pourra renforcer ses efforts de contrôle afin de ralentir la propagation du SARS-CoV-2 et de réduire la pression sur les services de santé.,There is a short window of opportunity during which countries have the possibility to further increase their control efforts to slow down the spread of SARS-CoV-2 and decrease the pressure on healthcare.
PubMed_6:185,"Sans quoi, il est probable que les systèmes de santé des autres pays de l’UE/l’EEE devront faire face à un pic de patients nécessitant des soins intensifs dans les jours ou les semaines à venir.","Failing this, it is likely that the healthcare systems of other EU/EEA countries will face a surge of patients that require intensive care within the coming days or weeks."
PubMed_7:186,"L’épidémie de la maladie à coronavirus 2019 (COVID-19), causée par le coronavirus 2 du syndrome respiratoire aigu sévère (SRAS) (SARS-CoV-2), a jusqu’alors entraîné plus de 3 000 décès et infecté plus de 80 000 personnes en Chine et ailleurs dans le monde, provoquant une catastrophe humanitaire.","The outbreak of Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome (SARS) coronavirus 2 (SARS-CoV-2), has thus far killed over 3,000 people and infected over 80,000 in China and elsewhere in the world, resulting in catastrophe for humans."
PubMed_7:187,"Comme son homologue, le SARS-CoV, qui entraîna des milliers de cas de SRAS en 2003, le SARS-CoV-2 pourrait être transmis par les chauves-souris et provoque des symptômes similaires par le biais d’un mécanisme similaire.","Similar to its homologous virus, SARS-CoV, which caused SARS in thousands of people in 2003, SARS-CoV-2 might also be transmitted from the bats and causes similar symptoms through a similar mechanism."
